13.1f, 1;
13.617f, 3;
14.134f, 2;
14.651f, 3;
15.168f, 4;
15.168f, 2;
15.685f, 4;
16.202f, 3;
16.719f, 2;
17.236f, 2;
17.753f, 1;
18.27f, 1;
18.787f, 1;
19.304f, 4;
19.821f, 1;
20.338f, 3;
20.855f, 3;
21.372f, 2;
21.889f, 1;
22.406f, 4;
22.923f, 1;
23.44f, 3;
23.957f, 2;
24.474f, 2;
24.991f, 1;
25.508f, 2;
26.025f, 1;
26.542f, 3;
27.059f, 4;
27.576f, 4;
28.093f, 4;
28.61f, 2;
29.127f, 1;
29.644f, 1;
30.161f, 2;
30.678f, 2;
31.195f, 3;
31.712f, 2;
32.229f, 2;
32.746f, 3;
33.263f, 3;
33.78f, 3;
34.297f, 1;
34.814f, 2;
35.331f, 3;
35.848f, 1;
36.365f, 3;
36.882f, 3;
37.399f, 2;
37.916f, 1;
38.433f, 3;
38.95f, 3;
39.467f, 3;
39.984f, 1;
40.501f, 1;
41.018f, 3;
41.535f, 4;
42.052f, 3;
42.569f, 3;
43.086f, 1;
43.603f, 2;
44.12f, 4;
44.637f, 1;
45.154f, 4;
45.671f, 1;
46.188f, 3;
46.705f, 2;
47.222f, 4;
47.739f, 4;
48.256f, 1;
48.773f, 3;
49.29f, 1;
49.807f, 3;
50.324f, 1;
50.841f, 2;
51.358f, 4;
51.875f, 1;
52.392f, 4;
52.909f, 1;
53.426f, 3;
53.943f, 2;
54.46f, 2;
54.977f, 2;
55.494f, 2;
56.011f, 1;
